Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias,index,slug,isMultiplayer
Bloody Good Time,1,2.1,1.0,both,0.0052118621983634,2.1,1.0,307,bloody-good-time,1.0
Bloody Trapland,2,1.8,2.0,both,0.0104237243967269,0.9,1.0,308,bloody-trapland,0.0
Bloop,2,0.0,0.0,left_only,0.0104237243967269,,0.0,309,bloop--1,0.0
Blue Toad Murder Files - The Mysteries of Little Riddle,1,0.0,0.0,left_only,0.0052118621983634,,0.0,310,blue-toad-murder-files-the-mysteries-of-little-riddle,0.0
Blur,2,4.1000000000000005,2.0,both,0.0104237243967269,2.0500000000000003,1.0,311,blur,0.0
Boid,1,0.0,0.0,left_only,0.0052118621983634,,0.0,312,boid,0.0
Boo Bunny Plague,1,2.3,1.0,both,0.0052118621983634,2.3,1.0,313,boo-bunny-plague,0.0
BookWorm Deluxe,3,7.1,1.0,both,0.0156355865950904,7.1,0.3333333333333333,314,bookworm-deluxe,0.0
Bookworm Adventures Deluxe,2,38.0,1.0,both,0.0104237243967269,38.0,0.5,315,bookworm-adventures,0.0
Booster Trooper,1,1.3,1.0,both,0.0052118621983634,1.3,1.0,316,booster-trooper,1.0
Borderlands,28,512.3,22.0,both,0.1459321415541773,23.286363636363635,0.7857142857142857,317,borderlands,1.0
Borderlands 2,65,3326.1,61.0,both,0.3387710428936258,54.52622950819672,0.9384615384615383,318,borderlands-2,1.0
Borderlands 2 Headhunter 1 Bloody Harvest,8,0.0,0.0,left_only,0.0416948975869078,,0.0,319,borderlands-2-tk-bahas-bloody-harvest,1.0
Borderlands 2 Headhunter 2 Wattle Gobbler,9,0.0,0.0,left_only,0.0469067597852712,,0.0,320,borderlands-2-the-horrible-hunger-of-the-ravenous-wattle-gobbler,1.0
Borderlands 2 Headhunter 3 Mercenary Day,8,0.0,0.0,left_only,0.0416948975869078,,0.0,321,borderlands-2-how-marcus-saved-mercenary-day,1.0
Borderlands 2 Headhunter 4 Wedding Day Massacre,8,0.0,0.0,left_only,0.0416948975869078,,0.0,322,borderlands-2-mad-moxxi-and-the-wedding-day-massacre,1.0
Borderlands 2 Headhunter 5 Son of Crawmerax,7,0.0,0.0,left_only,0.0364830353885443,,0.0,323,borderlands-2-sir-hammerlock-vs-the-son-of-crawmerax,1.0
Borderlands 2 RU,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Borderlands DLC Claptraps New Robot Revolution,17,0.0,0.0,left_only,0.088601657372179,,0.0,325,borderlands-claptraps-new-robot-revolution,1.0
Borderlands DLC Mad Moxxi's Underdome Riot,19,0.0,0.0,left_only,0.099025381768906,,0.0,326,borderlands-mad-moxxis-underdome-riot,1.0
Borderlands DLC The Secret Armory of General Knoxx,20,0.0,0.0,left_only,0.1042372439672695,,0.0,327,borderlands-the-secret-armory-of-general-knoxx,1.0
Borderlands DLC The Zombie Island of Dr. Ned,22,0.0,0.0,left_only,0.1146609683639964,,0.0,328,borderlands-the-zombie-island-of-dr-ned,1.0
Borderlands The Pre-Sequel,10,363.7,10.0,both,0.0521186219836347,36.37,1.0,329,borderlands-the-pre-sequel,1.0
Boring Man - Online Tactical Stickman Combat,6,55.1,4.0,both,0.0312711731901808,13.775,0.6666666666666666,330,boring-man-online-tactical-stickman-combat,1.0
Botanicula,5,16.6,4.0,both,0.0260593109918173,4.15,0.8,331,botanicula,0.0
Bound By Flame,4,10.0,2.0,both,0.0208474487934539,5.0,0.5,332,bound-by-flame,0.0
Braid,13,13.4,6.0,both,0.0677542085787251,2.2333333333333334,0.4615384615384615,333,braid,0.0
Brawl Busters,2,0.0,0.0,left_only,0.0104237243967269,,0.0,334,brawl-busters,1.0
Brawlhalla,13,102.1,11.0,both,0.0677542085787251,9.28181818181818,0.8461538461538461,335,brawlhalla,0.0
Breach & Clear,2,0.0,0.0,left_only,0.0104237243967269,,0.0,336,breach-and-clear,1.0
Break Into Zatwor,2,0.3,1.0,both,0.0104237243967269,0.3,0.5,337,break-into-zatwor,0.0
Breath of Death VII ,7,2.2,3.0,both,0.0364830353885443,0.7333333333333334,0.4285714285714285,338,breath-of-death-vii,0.0
Brick-Force,10,3.2,4.0,both,0.0521186219836347,0.8,0.4,339,brick-force,0.0
Brink of Consciousness Dorian Gray Syndrome,1,0.0,0.0,left_only,0.0052118621983634,,0.0,340,brink-of-consciousness-dorian-gray-syndrome,0.0
Broforce,6,62.7,4.0,both,0.0312711731901808,15.675,0.6666666666666666,341,broforce,1.0
Broken Age,6,73.0,5.0,both,0.0312711731901808,14.6,0.8333333333333334,342,broken-age,0.0
Broken Sword 1 - Shadow of the Templars Director's Cut,1,0.0,0.0,left_only,0.0052118621983634,,0.0,343,broken-sword-shadow-of-the-templars-the-directors-cut--1,0.0
Broken Sword 2 - the Smoking Mirror Remastered,1,0.0,0.0,left_only,0.0052118621983634,,0.0,344,broken-sword-the-smoking-mirror-remastered,0.0
Broken Sword 3 - the Sleeping Dragon,1,0.4,1.0,both,0.0052118621983634,0.4,1.0,345,broken-sword-the-sleeping-dragon,0.0
Broken Sword 5 - the Serpent's Curse,2,8.3,1.0,both,0.0104237243967269,8.3,0.5,346,broken-sword-5-the-serpents-curse,0.0
Brothers - A Tale of Two Sons,7,8.7,5.0,both,0.0364830353885443,1.7399999999999998,0.7142857142857143,347,brothers-a-tale-of-two-sons,0.0
Brtal Legend,12,29.0,8.0,both,0.0625423463803617,3.625,0.6666666666666666,Soundrack/Skin/Bonus,0,
Bullet Run,2,0.0,0.0,left_only,0.0104237243967269,,0.0,349,bullet-run,1.0
