Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias
Cubetractor,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Cubic Castles,6,8.8,3.0,both,0.03127117319018085,2.9333333333333336,0.5
Cult of the Wind,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Curse The Eye of Isis,1,0.2,1.0,both,0.005211862198363475,0.2,1.0
Curse of Mermos,3,0.3,1.0,both,0.015635586595090425,0.3,0.3333333333333333
D.I.P.R.I.P. Warm Up,2,1.4,2.0,both,0.01042372439672695,0.7,1.0
DARK,1,0.0,0.0,left_only,0.005211862198363475,,0.0
DARK SOULS II,13,1268.2,13.0,both,0.06775420857872518,97.55384615384615,1.0
DARK SOULS II - Season Pass,6,0.0,0.0,left_only,0.03127117319018085,,0.0
DARK SOULS II Crown of the Old Iron King,9,0.0,0.0,left_only,0.04690675978527128,,0.0
DARK SOULS II Scholar of the First Sin,11,252.1,9.0,both,0.05733048418199823,28.01111111111111,0.8181818181818182
DC Universe Online,28,2554.7,28.0,both,0.1459321415541773,91.23928571428571,1.0
DCS World,8,0.6,2.0,both,0.0416948975869078,0.3,0.25
DEFCON,11,8.9,7.0,both,0.05733048418199823,1.2714285714285716,0.6363636363636364
DETOUR,3,2.4,1.0,both,0.015635586595090425,2.4,0.3333333333333333
DLC Quest,9,41.4,9.0,both,0.04690675978527128,4.6,1.0
DOOM 3,3,0.4,1.0,both,0.015635586595090425,0.4,0.3333333333333333
DOOM 3 BFG Edition,4,6.9,4.0,both,0.0208474487934539,1.725,1.0
DOOM 3 Resurrection of Evil,3,0.0,0.0,left_only,0.015635586595090425,,0.0
DOOM II Hell on Earth,3,0.4,1.0,both,0.015635586595090425,0.4,0.3333333333333333
DRAGON BALL XENOVERSE,9,139.2,8.0,both,0.04690675978527128,17.4,0.8888888888888888
DRAKERZ-Confrontation,1,0.0,0.0,left_only,0.005211862198363475,,0.0
DUNGEONS - Steam Special Edition,2,1.9000000000000001,2.0,both,0.01042372439672695,0.9500000000000001,1.0
DUNGEONS - The Dark Lord (Steam Special Edition),3,0.0,0.0,left_only,0.015635586595090425,,0.0
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition,2,10.1,1.0,both,0.01042372439672695,10.1,0.5
Daikatana,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Damned,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Dark Arcana The Carnival,1,0.7,1.0,both,0.005211862198363475,0.7,1.0
Dark Forester,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Dark Messiah of Might & Magic Multi-Player,6,22.3,2.0,both,0.03127117319018085,11.15,0.3333333333333333
Dark Messiah of Might & Magic Single Player,6,52.2,3.0,both,0.03127117319018085,17.400000000000002,0.5
Dark Souls Prepare to Die Edition,21,482.7,20.0,both,0.10944910616563297,24.134999999999998,0.9523809523809523
Dark Void,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Dark Void Zero,1,0.0,0.0,left_only,0.005211862198363475,,0.0
DarkStar One,1,0.8,1.0,both,0.005211862198363475,0.8,1.0
Darkest Dungeon,6,34.1,5.0,both,0.03127117319018085,6.82,0.8333333333333334
Darkest Hour A Hearts of Iron Game,1,0.4,1.0,both,0.005211862198363475,0.4,1.0
Darkest Hour Europe '44-'45,6,3.8,1.0,both,0.03127117319018085,3.8,0.16666666666666666
Darkout,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Darksiders,26,202.3,19.0,both,0.13550841715745035,10.647368421052633,0.7307692307692307
Darksiders II,23,248.2,14.0,both,0.11987283056235994,17.728571428571428,0.6086956521739131
Darksiders II Deathinitive Edition,6,0.7,1.0,both,0.03127117319018085,0.7,0.16666666666666666
Darksiders II Soundtrack,6,0.0,0.0,left_only,0.03127117319018085,,0.0
Darksiders Soundtrack,6,0.0,0.0,left_only,0.03127117319018085,,0.0
Darkspore,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Darkwind War on Wheels,1,0.2,1.0,both,0.005211862198363475,0.2,1.0
Darwinia,9,17.6,5.0,both,0.04690675978527128,3.5200000000000005,0.5555555555555556
